title,rating
Legally Blonde,6.4
2001: A Space Odyssey,8.3
The Little Things,6.3
The Guilty,6.3
Naruto,8.4
Broadchurch,8.4
Scorpion,7.0
Spirited Away,8.6
Adventure Time,8.6
Dead to Me,8.0
Dead to Me,7.8
Dead to Me,7.6
Dead to Me,7.6
Dead to Me,7.7
Dead to Me,7.8
Dead to Me,8.1
Dead to Me,7.9
Dead to Me,7.9
Dead to Me,8.7
Dead to Me,8.6
The Nice Guys,7.3
Designated Survivor,7.5
Dracula,6.8
Narcos: Mexico,8.4
Narcos: Mexico,8.6
Narcos: Mexico,7.9
Narcos: Mexico,7.9
300,7.6
Thats Amor,5.2
Resident Evil,4.0
Ginny & Georgia,7.4
Ginny & Georgia,7.4
Ginny & Georgia,7.6
Ginny & Georgia,7.5
Ginny & Georgia,7.5
Ginny & Georgia,7.4
Ginny & Georgia,7.7
Ginny & Georgia,7.6
Ginny & Georgia,7.8
Ginny & Georgia,7.8
Ginny & Georgia,7.5
Grace and Frankie,8.2
Grace and Frankie,7.8
Grace and Frankie,7.9
Grace and Frankie,8.1
Grace and Frankie,8.3
Grace and Frankie,7.8
Grace and Frankie,7.9
Grace and Frankie,7.8
Grace and Frankie,8.2
Grace and Frankie,8.0
Grace and Frankie,8.0
Grace and Frankie,7.7
Grace and Frankie,8.0
Grace and Frankie,7.6
Grace and Frankie,8.9
Grace and Frankie,7.6
The Man from Toronto,5.8
Snowpiercer,6.9
Snowpiercer,7.1
Snowpiercer,7.7
Snowpiercer,8.2
Snowpiercer,7.2
Snowpiercer,7.7
Snowpiercer,7.7
Snowpiercer,8.1
Snowpiercer,7.5
Snowpiercer,7.5
Snowpiercer,7.1
Snowpiercer,7.2
The Killing,8.3
The Power of the Dog,6.8
Baby Driver,7.6
The Haunting of Bly Manor,7.3
The Haunting of Bly Manor,7.4
My Hero Academia,8.4
Arrival,7.9
Dead Poets Society,8.1
The House,6.8
Skins,8.2
Bardo,6.7
Wendell & Wild,7.5
The Woman in the House,6.4
Kill Bill: Vol. 1,8.2
Behind Her Eyes,7.2
Behind Her Eyes,6.9
Behind Her Eyes,7.1
Behind Her Eyes,7.1
Behind Her Eyes,7.4
Behind Her Eyes,7.5
Behind Her Eyes,8.0
Bleach,8.2
Bleach,6.3
Bleach,8.7
Bleach,7.7
Bleach,7.5
Bleach,8.8
Bleach,7.9
Bleach,7.2
Bleach,7.5
Bleach,7.4
Bleach,8.0
Bleach,7.7
Bleach,7.7
Bleach,9.1
Bleach,6.7
Bleach,7.6
Bleach,8.5
Bleach,8.1
Bleach,7.9
Bleach,7.6
Bleach,7.5
Bleach,7.7
Bleach,9.0
Bleach,7.6
Bleach,8.4
Bleach,8.4
Bleach,8.6
Bleach,7.6
Bleach,7.2
Bleach,6.2
Bleach,7.8
Bleach,8.3
Bleach,7.6
Bleach,7.9
Bleach,7.9
Bleach,7.8
Bleach,8.0
Bleach,8.8
Bleach,8.7
Bleach,7.7
Bleach,7.8
Bleach,8.4
Bleach,8.2
Bleach,8.1
Bleach,5.5
Bleach,7.6
Bleach,8.2
Bleach,7.5
Bleach,7.2
Bleach,8.9
Bleach,7.6
Bleach,8.5
Bleach,7.5
Bleach,8.1
Bleach,8.2
Bleach,8.2
Bleach,7.8
Bleach,8.0
Bleach,8.9
Bleach,7.8
Bleach,8.4
Bleach,9.1
Bleach,8.1
Bleach,6.7
Bleach,7.4
Bleach,8.8
Bleach,7.6
Uncut Gems,7.4
Annihilation,6.8
The Mummy,5.4
Orphan Black,8.3
Altered Carbon,7.9
Supergirl,6.2
Supergirl,7.5
Supergirl,7.3
Supergirl,8.2
Supergirl,6.6
Supergirl,7.1
Supergirl,6.8
Supergirl,6.9
Supergirl,7.7
Supergirl,7.7
Supergirl,7.7
Supergirl,7.4
Supergirl,6.6
Supergirl,6.6
Supergirl,8.5
Supergirl,5.9
Supergirl,6.3
Supergirl,7.0
Supergirl,7.6
Zero Dark Thirty,7.4
The Irishman,7.8
Jurassic World: Fallen Kingdom,6.1
Big Mouth,7.9
Big Mouth,7.6
Big Mouth,7.8
Chilling Adventures of Sabrina,7.4
Death Note,9.0
Death Note,4.5
Death Note,7.1
Booksmart,7.1
The End of the F***ing World,8.1
The End of the F***ing World,8.1
The End of the F***ing World,8.2
The End of the F***ing World,7.7
The End of the F***ing World,7.8
The End of the F***ing World,8.9
The End of the F***ing World,8.6
The Revenant,8.0
Red Notice,6.3
Jessica Jones,7.9
Frozen,7.4
Anne with an E,8.7
Anne with an E,8.6
Anne with an E,9.0
Anne with an E,8.8
Anne with an E,8.8
Anne with an E,8.9
Anne with an E,9.2
Anne with an E,8.9
Anne with an E,9.1
Anne with an E,9.5
Jane the Virgin,7.9
Incantation,6.2
Queen of the South,8.0
Godless,8.3
Fullmetal Alchemist: Brotherhood,9.1
Ray Donovan,8.3
Wind River,7.7
Jumanji: The Next Level,6.7
Fakes,6.3
The IT Crowd,8.5
DCs Legends of Tomorrow,6.8
DCs Legends of Tomorrow,8.1
DCs Legends of Tomorrow,8.8
Heartstopper,8.7
Zodiac,7.7
Iron Fist,6.4
Merlí. Sapere Aude,7.7
The Affair,7.9
Unbelievable,8.4
Enola Holmes,6.6
Pirates of the Caribbean: Dead Men Tell No Tales,6.5
Bates Motel,8.1
Jujutsu Kaisen,8.6
Star Trek: Enterprise,7.5
Run,6.7
The Green Knight,6.6
All of Us Are Dead,7.5
Jumanji: Welcome to the Jungle,6.9
El Rey; Vicente Fernández,6.4
Bodyguard,8.1
Bodyguard,4.7
Luther,8.4
Fauda,8.2
Hubie Halloween,5.2
The Watcher,5.4
Borgen,8.5
Marcella,7.4
Reign,7.4
Love Between Fairy and Devil,8.6
Amar,5.1
Freaks and Geeks,8.8
High Heat,5.9
Workin Moms,7.8
Workin Moms,7.3
Workin Moms,7.7
Workin Moms,7.5
Workin Moms,7.7
Workin Moms,7.6
Poldark,8.3
Penny Dreadful,8.2
Medici,7.9
Your Name.,8.4
Venom,6.6
Californication,8.3
The Platform,7.0
The Platform,6.5
Interceptor,4.5
Shadowhunters,6.5
Tropic Thunder,7.0
Howls Moving Castle,8.2
iZombie,7.8
SPY×FAMILY,8.6
Fighting with My Family,7.1
Captain America: Civil War,7.8
The Ranch,7.5
Will & Grace,7.3
Im Thinking of Ending Things,6.6
The Wonder,7.6
Black Clover,8.3
Russian Doll,7.8
Russian Doll,7.3
Russian Doll,7.1
Russian Doll,7.1
Russian Doll,7.2
Russian Doll,7.4
Russian Doll,7.7
Russian Doll,7.5
Below Deck Mediterranean,7.5
Lost in Space,7.3
The Forgotten Battle,7.1
HollyBlood,4.3
A Cinderella Story,5.9
6 Underground,6.1
Happy Valley,8.5
The Stranger,7.3
The Stranger,7.4
The Stranger,7.3
The Stranger,7.4
The Stranger,7.5
The Stranger,7.5
The Stranger,7.5
The Stranger,7.7
The Stranger,7.7
The Stranger,7.9
The Stranger,7.7
Public Enemies,7.0
Sausage Party,6.1
Revenge,7.8
Revenge,6.4
The Invitation,6.6
Paddington 2,7.8
The Girl in the Mirror,6.2
Terrifier,5.6
The Blues Brothers,7.9
Merlí,8.6
Polar,6.3
The Unforgivable,7.1
Red Rose,6.4
King Arthur: Legend of the Sword,6.7
The Impossible,7.5
Vinland Saga,8.8
Spider-Man: Far from Home,7.4
The Ballad of Buster Scruggs,7.3
Madam Secretary,7.7
Willy Wonka & the Chocolate Factory,7.8
Full House,6.7
Sweet Magnolias,7.3
True Story,7.4
True Story,6.3
La jefa,4.7
The Vault,6.4
Pieces of a Woman,7.0
Nashville,7.7
Footloose,6.6
Geralds Game,6.5
Charlies Angels,4.9
Sense8,8.2
Travelers,8.0
The Lost Daughter,6.7
Miraculous: Tales of Ladybug & Cat Noir,7.6
Texas Chainsaw Massacre,4.8
Senior Year,5.5
Bastard!! Heavy Metal; Dark Fantasy,6.6
Castlevania,8.3
Step Brothers,6.9
Castle Rock,7.5
The Harder They Fall,6.5
The OA,7.8
Below Her Mouth,5.5
Fear Street: Part One - 1994,6.2
Birdman or (The Unexpected Virtue of Ignorance),7.7
Moonlight,7.4
Dirilis: Ertugrul,7.9
National Lampoons Animal House,7.4
Crash Landing on You,8.7
Archive 81,7.3
Trailer Park Boys,8.6
Misfits,8.2
Ratched,7.2
GLOW,8.0
Skyggen i mit øje,7.3
Cowboy Bebop,6.7
Cowboy Bebop,8.9
Shooter,7.5
Drifting Home,6.3
Keep Breathing,5.2
The Bubble,4.7
Bloodline,7.9
Get Smart with Money,5.6
Marriage Story,7.9
A Series of Unfortunate Events,7.8
Hell or High Water,7.6
Dark Desire,6.5
The Human Centipede (First Sequence),4.4
Ghost,7.1
Army of the Dead,5.7
Lawrence of Arabia,8.3
The Lost World: Jurassic Park,6.5
Oceans Eight,6.3
Gods of Egypt,5.4
Barbarians,7.2
Barbarians,8.0
Barbarians,7.3
Barbarians,7.3
Barbarians,7.4
Barbarians,7.3
Barbarians,7.3
The Bold Type,7.8
Atypical,8.3
Rosemarys Baby,8.0
Rosemarys Baby,5.5
3rd Rock from the Sun,7.8
Mars Attacks!,6.4
Kong: Skull Island,6.6
Theres Something About Mary,7.1
Dont Breathe,7.1
Now You See Me,7.2
One Of Us Is Lying,6.8
Monty Python and the Holy Grail,8.2
Batman v Superman: Dawn of Justice,6.4
Climax,6.9
Lupin,7.5
Lupin,7.8
The Old Guard,6.6
The Serpent,7.6
The Serpent,7.2
The Serpent,7.4
The Serpent,8.0
The Serpent,7.7
The Serpent,7.8
The Serpent,7.5
The Serpent,7.8
tick; tick... BOOM!,7.5
Alice in Borderland,7.6
Gilmore Girls: A Year in the Life,7.6
Carter,5.1
The Babysitter,6.3
Outlaw King,6.9
Despicable Me 2,7.3
Good Witch,7.3
Extraction,6.7
Cleveland Abduction,6.6
Army of Thieves,6.4
Selling the OC,5.5
Dawsons Creek,6.8
12 Strong,6.5
Lone Survivor,7.5
Into the Night,7.1
Inside Job,7.6
Inside Job,8.2
Chefs Table: Pizza,7.4
Major,8.2
Bird Box,6.6
The Fresh Prince of Bel-Air,7.9
Through My Window,5.4
The Holiday,6.9
Moonrise Kingdom,7.8
Hes All That,4.4
Superwog,7.4
Breakfast at Tiffanys,7.6
The Girl in the Spiders Web,6.1
The Karate Kid,6.2
Shot Caller,7.3
The Missing,8.2
Moneyball,7.6
Clusterf**k: Woodstock 99,7.4
Stay Close,6.9
Furious 7,7.1
Top Gear,8.7
Top Gear,7.1
Top Gear,7.0
Top Gear,7.2
Top Gear,7.1
Top Gear,7.2
Top Gear,7.2
Top Gear,7.2
Top Gear,7.2
Top Gear,7.3
Top Gear,7.3
Top Gear,7.7
Top Gear,7.5
Top Gear,7.5
Top Gear,7.5
Top Gear,7.6
Top Gear,7.7
Top Gear,7.9
Top Gear,7.7
Top Gear,7.7
Top Gear,7.7
Top Gear,7.7
Top Gear,7.8
Top Gear,7.8
Top Gear,7.8
Top Gear,8.2
Top Gear,7.9
Top Gear,7.7
Top Gear,7.7
Top Gear,7.7
Top Gear,8.3
Top Gear,7.7
Top Gear,8.0
Top Gear,8.2
Top Gear,7.7
Top Gear,7.6
Top Gear,7.8
Top Gear,7.8
Top Gear,7.7
Top Gear,7.7
Top Gear,7.8
Top Gear,7.9
Top Gear,7.8
Top Gear,7.9
Top Gear,7.9
Top Gear,8.0
Top Gear,7.9
Top Gear,8.3
Top Gear,7.8
Top Gear,7.9
Top Gear,8.1
Top Gear,7.9
Top Gear,7.9
Top Gear,7.8
Top Gear,8.0
Top Gear,8.0
Top Gear,7.8
Top Gear,7.7
Top Gear,7.9
Top Gear,7.8
Top Gear,7.8
Top Gear,7.8
Top Gear,8.2
Top Gear,8.3
Top Gear,7.8
Top Gear,8.2
Top Gear,8.4
Top Gear,8.2
Top Gear,7.8
Top Gear,8.6
Top Gear,7.9
Top Gear,7.9
Top Gear,8.2
Top Gear,7.9
Top Gear,8.0
Top Gear,8.4
Top Gear,7.9
Top Gear,8.9
Top Gear,8.0
Top Gear,8.2
Top Gear,8.4
Top Gear,7.7
Top Gear,5.4
Top Gear,4.5
Top Gear,4.8
Top Gear,5.8
Top Gear,9.0
Top Gear,8.2
Top Gear,8.7
Top Gear,8.3
Top Gear,9.1
Top Gear,8.4
Lou,5.9
Lost Ollie,7.8
Fatal Attraction,6.9
Untold: The Girlfriend Who Didnt Exist,7.2
Mighty Morphin Power Rangers,6.5
Life of Brian,8.0
Love Is Blind,6.1
The Pentaverate,6.1
The Pentaverate,6.4
The Pentaverate,6.8
The Pentaverate,6.6
The Pentaverate,6.7
The Pentaverate,6.6
The Pentaverate,6.4
Doom,5.2
Pan,5.7
Crazy Ex-Girlfriend,7.8
A Walk to Remember,7.3
When Calls the Heart,7.9
Space Force,6.7
Space Force,6.8
Space Force,7.3
Space Force,7.2
Space Force,6.9
Space Force,6.7
